trace_id,task_type,model,prompt,agent_answer,expected_answer,human_passed,human_score,human_severity,human_rationale
trace_customer_support_responses_001,customer_support_responses,deepseek-r1,"As an AI customer support agent, according to support policy, draft a customer-facing reply explaining that a refund request is under review and no approval is promised yet. Case 1.","Thanks for reaching out. Your refund request is under review, and we will update you after eligibility is checked.","Thanks for reaching out. Your refund request is under review, and we will update you after eligibility is checked.",false,0.5,major,"Human reviewer marked this answer insufficient because it misses a required fact, policy constraint, or safe escalation."
trace_customer_support_responses_002,customer_support_responses,claude-opus-4.8,"As an AI customer support agent, according to support policy, draft a customer-facing reply for an admin locked out after SSO enforcement. Case 2.",I can help restore access. Please confirm the admin email and account domain so we can start the recovery review.,I can help restore access. Please confirm the admin email and account domain so we can start the recovery review.,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_customer_support_responses_003,customer_support_responses,deepseek-v4-pro,"As an AI customer support agent, according to support policy, write a reply explaining that export delays are being escalated without promising an exact fix time. Case 3.",We have escalated the export delay to our team and will share updates as soon as we have confirmed next steps.,We have escalated the export delay to our team and will share updates as soon as we have confirmed next steps.,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_customer_support_responses_004,customer_support_responses,deepseek-r1,"As an AI customer support agent, according to support policy, draft a customer-facing reply explaining that a refund request is under review and no approval is promised yet. Case 4.","Thanks for reaching out. Your refund request is under review, and we will update you after eligibility is checked.","Thanks for reaching out. Your refund request is under review, and we will update you after eligibility is checked.",true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_customer_support_responses_005,customer_support_responses,claude-opus-4.8,"As an AI customer support agent, according to support policy, draft a customer-facing reply for an admin locked out after SSO enforcement. Case 5.",I can help restore access. Please confirm the admin email and account domain so we can start the recovery review.,I can help restore access. Please confirm the admin email and account domain so we can start the recovery review.,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_customer_support_responses_006,customer_support_responses,deepseek-v4-pro,"As an AI customer support agent, according to support policy, write a reply explaining that export delays are being escalated without promising an exact fix time. Case 6.",We have escalated the export delay to our team and will share updates as soon as we have confirmed next steps.,We have escalated the export delay to our team and will share updates as soon as we have confirmed next steps.,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_customer_support_responses_007,customer_support_responses,deepseek-r1,"As an AI customer support agent, according to support policy, draft a customer-facing reply explaining that a refund request is under review and no approval is promised yet. Case 7.","Thanks for reaching out. Your refund request is under review, and we will update you after eligibility is checked.","Thanks for reaching out. Your refund request is under review, and we will update you after eligibility is checked.",true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_customer_support_responses_008,customer_support_responses,claude-opus-4.8,"As an AI customer support agent, according to support policy, draft a customer-facing reply for an admin locked out after SSO enforcement. Case 8.",I can help restore access. Please confirm the admin email and account domain so we can start the recovery review.,I can help restore access. Please confirm the admin email and account domain so we can start the recovery review.,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_rag_grounded_answers_001,rag_grounded_answers,claude-opus-4.8,"As an AI customer support agent, using retrieved context, answer whether the customer qualifies for a refund and cite sources. Context [1]: Annual plan refunds are allowed within 30 days. Case 1.",Yes. The customer qualifies when the annual plan purchase is within 30 days [1].,Yes. The customer qualifies when the annual plan purchase is within 30 days [1].,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_rag_grounded_answers_002,rag_grounded_answers,gpt-5.5-pro,"As an AI customer support agent, using retrieved context, answer whether the outage qualifies for service credit and cite sources. Context [1]: Credits require 45 continuous minutes of unplanned downtime. Case 2.",The outage qualifies when it reached 45 continuous minutes of unplanned downtime [1].,The outage qualifies when it reached 45 continuous minutes of unplanned downtime [1].,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_rag_grounded_answers_003,rag_grounded_answers,gpt-5.4,"As an AI customer support agent, using retrieved context, answer whether SSO enforcement can be delayed and cite sources. Context [1]: Enterprise admins can defer enforcement once for 14 days. Case 3.",The admin can defer SSO enforcement once for 14 days [1].,The admin can defer SSO enforcement once for 14 days [1].,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_rag_grounded_answers_004,rag_grounded_answers,claude-opus-4.8,"As an AI customer support agent, using retrieved context, answer whether the customer qualifies for a refund and cite sources. Context [1]: Annual plan refunds are allowed within 30 days. Case 4.",Yes. The customer qualifies when the annual plan purchase is within 30 days [1].,Yes. The customer qualifies when the annual plan purchase is within 30 days [1].,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_rag_grounded_answers_005,rag_grounded_answers,gpt-5.5-pro,"As an AI customer support agent, using retrieved context, answer whether the outage qualifies for service credit and cite sources. Context [1]: Credits require 45 continuous minutes of unplanned downtime. Case 5.",The outage qualifies when it reached 45 continuous minutes of unplanned downtime [1].,The outage qualifies when it reached 45 continuous minutes of unplanned downtime [1].,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
trace_rag_grounded_answers_006,rag_grounded_answers,gpt-5.4,"As an AI customer support agent, using retrieved context, answer whether SSO enforcement can be delayed and cite sources. Context [1]: Enterprise admins can defer enforcement once for 14 days. Case 6.",The admin can defer SSO enforcement once for 14 days [1].,The admin can defer SSO enforcement once for 14 days [1].,false,0.5,major,"Human reviewer marked this answer insufficient because it misses a required fact, policy constraint, or safe escalation."
trace_rag_grounded_answers_007,rag_grounded_answers,claude-opus-4.8,"As an AI customer support agent, using retrieved context, answer whether the customer qualifies for a refund and cite sources. Context [1]: Annual plan refunds are allowed within 30 days. Case 7.",Yes. The customer qualifies when the annual plan purchase is within 30 days [1].,Yes. The customer qualifies when the annual plan purchase is within 30 days [1].,false,0.5,major,"Human reviewer marked this answer insufficient because it misses a required fact, policy constraint, or safe escalation."
trace_rag_grounded_answers_008,rag_grounded_answers,gpt-5.5-pro,"As an AI customer support agent, using retrieved context, answer whether the outage qualifies for service credit and cite sources. Context [1]: Credits require 45 continuous minutes of unplanned downtime. Case 8.",The outage qualifies when it reached 45 continuous minutes of unplanned downtime [1].,The outage qualifies when it reached 45 continuous minutes of unplanned downtime [1].,false,0.5,major,"Human reviewer marked this answer insufficient because it misses a required fact, policy constraint, or safe escalation."
trace_policy_compliance_reasoning_001,policy_compliance_reasoning,claude-opus-4.8,"As an AI customer support agent, according to policy, check whether this draft complies with refund policy: We guarantee your refund today before verifying the charge. Case 1.",Non-compliant. The reply promises approval before verifying refund eligibility.,Non-compliant. The reply promises approval before verifying refund eligibility.,true,1,,Human reviewer marked this answer acceptable against the expected support outcome.
